ID;Nazwa;Rzeka;Szerokośćgeograficzna;Długośćgeograficzna;Wysokośćnpm;lat_dec;lon_dec
249170080;Dzierżkowice;Opawa (112);49 59 32;17 50 47;270.0;49.992222222222225;17.84638888888889
249180010;Pszczyna;Pszczynka (2116);49 59 44;18 55 09;270.0;49.995555555555555;18.91916666666667
249180020;Warszowice;Pszczynka (2116);49 59 31;18 42 20;270.0;49.99194444444444;18.705555555555556
249180030;Chałupki;Odra (1);49 55 33;18 19 39;198.0;49.92583333333333;18.3275
249180070;Mazańcowice;Wapienica (21128);49 51 45;18 58 10;269.0;49.862500000000004;18.96944444444444
249180090;Rudzica;Iłownica (2112);49 51 12;18 52 57;337.0;49.85333333333333;18.8825
249180130;Cieszyn;Olza (114);49 45 15;18 38 54;295.0;49.75416666666667;18.648333333333333
249180150;Wapienica;Wapienica (21128);49 46 25;18 58 24;456.0;49.77361111111111;18.973333333333333
249180160;BRENNA;Brennica (21114);49 45 13;18 52 15;350.0;49.75361111111111;18.870833333333334
249180170;Błatnia;Brennica (21114);49 44 49;18 56 33;882.0;49.746944444444445;18.9425
249180180;Równica, wieś;Wisła (2);49 43 11;18 51 09;768.0;49.719722222222224;18.852500000000003
249180210;SZCZYRK;Soła (2132);49 42 11;18 59 41;600.0;49.70305555555556;18.994722222222222
249180220;CZANTORIA;Wisła (2);49 41 00;18 49 11;842.0;49.68333333333333;18.81972222222222
249180230;WISŁA;Wisła (2);49 39 17;18 51 41;430.0;49.65472222222222;18.86138888888889
249180240;WISŁA-MALINKA;Malinka (21112);49 38 41;18 58 03;685.0;49.64472222222222;18.967499999999998
249180260;ISTEBNA-KUBALONKA;Olza (114);49 36 13;18 54 04;780.0;49.603611111111114;18.90111111111111
249180270;Istebna Młoda-Góra;Olza (114);49 34 50;18 51 43;786.0;49.580555555555556;18.861944444444447
249180280;ISTEBNA-STECÓWKA;Olza (114);49 35 07;18 56 25;735.0;49.58527777777778;18.940277777777776
249180390;BRENNA Leśnica;Leśnica (211146);49 42 36;18 54 11;426.0;49.71;18.903055555555554
249180410;ISTEBNA-WIEŚ;Olza (114);49 34 08;18 53 32;578.0;49.56888888888889;18.892222222222223
249180520;RUDZICA;Iłownica (2112);49 51 14;18 52 51;345.0;49.85388888888889;18.880833333333335
249180530;ISTEBNA-STECÓWKA;Olza (114);49 35 05;18 56 16;725.0;49.584722222222226;18.93777777777778
249180550;Cieszyn;Olza (114);49 46 30;18 36 33;255.0;49.775;18.609166666666667
249180570;Międzyrzecze Górne;Jasienica (21126);49 50 22;18 55 42;312.0;49.839444444444446;18.928333333333335
